Unnamed: 0,Airline Name,Overall_Rating,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Ground Service,Inflight Entertainment,Value For Money,Recommended
0,AB Aviation,9,Solo Leisure,Economy Class,Moroni to Moheli,Nov-19,4,5,4,4,1,3,yes
1,AB Aviation,1,Solo Leisure,Economy Class,Moroni to Anjouan,Jun-19,2,2,1,1,1,2,no
2,AB Aviation,1,Solo Leisure,Economy Class,Anjouan to Dzaoudzi,Jun-19,2,1,1,1,1,2,no
3,Adria Airways,1,Solo Leisure,Economy Class,Frankfurt to Pristina,Sep-19,1,1,1,1,1,1,no
4,Adria Airways,1,Couple Leisure,Economy Class,Sofia to Amsterdam via Ljubljana,Sep-19,1,1,1,1,1,1,no
5,Adria Airways,1,Couple Leisure,Economy Class,Sarajevo to Ljubljana,Sep-19,1,1,1,1,1,1,no
6,Adria Airways,1,Business,Economy Class,Ljubljana to Zürich,Sep-19,1,1,1,1,1,1,no
7,Adria Airways,1,Solo Leisure,Economy Class,Timisoara to Munich,Aug-19,1,1,1,1,1,1,no
8,Adria Airways,1,Solo Leisure,Economy Class,Pristina to Zürich via Ljubliana,Aug-19,1,2,1,1,1,1,no
9,Adria Airways,8,Family Leisure,Economy Class,Ljubljana to Munich,Oct-18,4,4,3,5,1,5,yes
10,Adria Airways,1,Business,Economy Class,Zurich to Ljubljana,Oct-18,2,1,1,1,1,1,no
11,Adria Airways,1,Family Leisure,Economy Class,Vienna to Sofia,Jul-18,4,1,1,4,1,1,no
12,Adria Airways,2,Solo Leisure,Economy Class,Paris to Skopje via Ljubljana,May-18,3,3,1,3,1,2,no
13,Adria Airways,2,Business,Economy Class,Ljubljana to Munich,Jun-18,1,2,2,2,1,1,no
14,Adria Airways,3,Couple Leisure,Economy Class,Ljubljana to Prague,Jun-18,3,3,1,1,1,1,no
15,Adria Airways,1,Business,Economy Class,Frankfurt to Ljubljana,Apr-18,5,5,5,5,1,5,yes
16,Adria Airways,1,Solo Leisure,Economy Class,Ljubljana to Frankfurt,Mar-18,2,1,1,1,1,1,no
17,Adria Airways,3,Solo Leisure,Economy Class,Ljubljana to Vienna,Sep-17,2,4,1,1,1,3,no
18,Adria Airways,9,Business,Economy Class,Ljubljana to Sarajevo,Nov-17,5,5,3,5,1,3,yes
19,Adria Airways,2,Couple Leisure,Economy Class,Zurich to Ljubjana,Oct-17,3,3,1,1,1,1,no
20,Adria Airways,2,Family Leisure,Economy Class,Ljubljana to Munich ,Jun-17,3,4,1,1,1,2,no
21,Adria Airways,9,Business,Economy Class,Ljubljana to Zurich,Apr-17,5,5,4,5,4,4,yes
22,Adria Airways,8,Solo Leisure,Business Class,LJU to VIE,Dec-16,5,5,4,5,5,4,yes
23,Adria Airways,1,Business,Economy Class,LJU to VIE,Oct-16,5,5,1,5,1,4,yes
24,Adria Airways,8,Solo Leisure,Business Class,LJU to CPH,Nov-16,4,4,3,3,1,4,yes
25,Adria Airways,5,Business,Economy Class,CDG to LJU,Nov-16,3,5,1,4,3,1,no
26,Adria Airways,2,Solo Leisure,Economy Class,MUC to LJU,Oct-16,1,1,2,3,1,1,no
27,Adria Airways,3,Solo Leisure,Economy Class,LJU to AMS,Oct-16,3,1,1,2,2,2,no
28,Adria Airways,3,Couple Leisure,Economy Class,LJU to BRU,Aug-16,2,2,1,4,1,4,no
29,Adria Airways,6,Family Leisure,Economy Class,MAN to LJU,Sep-16,2,4,3,3,4,4,yes
